Course,Daytime/evening attendance,Previous qualification,Mjob,Fjob,Educational special needs,Debtor,Tuition fees up to date,sex,Scholarship holder,age,G1,G2,Target,famsize,Pstatus,guardian,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,famrel,health,absences,G3
14.0,1.0,1.0,6.0,8.0,0.0,0.0,1.0,0.0,0.0,18.0,12.333333333333334,14.2,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.6,4.6,14.0
12.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,0.0,1.0,18.0,13.214285714285714,13.214285714285714,0.0,1.0,1.0,0.0,2.4,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.2,3.2,1.8,13.4
16.0,1.0,1.0,5.0,10.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,1.0,1.0,1.0,0.0,1.2,1.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.2,0.0,0.0
11.0,1.0,16.0,5.0,8.0,0.0,0.0,1.0,0.0,1.0,21.0,10.571428571428571,11.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.4,11.4,11.2
6.0,1.0,1.0,6.0,6.0,0.0,0.0,1.0,0.0,1.0,18.0,13.25,12.0,0.0,1.0,1.0,0.0,2.2,0.4,1.0,0.0,1.0,1.0,0.0,0.0,3.6,4.0,4.2,12.2
15.0,1.0,1.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,20.0,13.2,0.0,1.0,1.0,1.0,0.0,2.4,1.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0
10.0,1.0,1.0,6.0,9.0,0.0,0.0,1.0,0.0,0.0,18.0,12.0,11.0,0.0,1.0,1.0,0.0,2.2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.8,4.6,6.2,11.6
12.0,1.0,1.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,18.0,13.30625,14.545,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.6,4.6,14.0
8.0,1.0,1.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,20.0,12.5,12.25,0.0,1.0,1.0,0.0,3.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,4.2,2.8,10.2,11.6
16.0,1.0,1.0,8.0,8.0,0.0,0.0,1.0,0.0,0.0,18.0,11.666666666666666,13.5,0.0,1.0,1.0,0.0,1.8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.8,3.0,3.4,13.8
2.0,1.0,1.0,10.0,9.0,0.0,0.0,1.0,0.0,1.0,21.0,0.0,0.0,0.0,1.0,1.0,0.0,1.2,1.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.2,0.0,0.0
13.0,1.0,1.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,20.0,11.4375,11.425,0.0,1.0,1.0,0.0,2.6,0.2,1.0,0.0,1.0,1.0,0.0,0.0,3.4,2.8,8.8,11.6
12.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,18.0,12.857142857142858,12.857142857142858,0.0,1.0,1.0,0.0,2.4,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.4,3.6,1.8,13.2
14.0,1.0,1.0,5.0,8.0,0.0,0.0,1.0,0.0,1.0,19.0,13.375,12.285714285714286,0.0,1.0,1.0,0.0,2.4,0.2,1.0,0.0,1.0,1.0,0.0,0.0,3.8,3.0,8.2,12.8
12.0,1.0,1.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,19.0,13.296666666666669,14.114285714285714,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.6,4.6,14.0
10.0,1.0,1.0,10.0,10.0,0.0,1.0,1.0,0.0,1.0,18.0,11.6,11.0,0.0,1.0,1.0,0.0,2.6,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,5.0,6.2,11.6
10.0,1.0,1.0,8.0,9.0,0.0,0.0,1.0,0.0,0.0,21.0,11.375,13.285714285714286,0.0,1.0,1.0,0.0,2.6,0.2,1.0,0.0,1.0,1.0,0.0,0.0,3.4,2.0,4.8,13.0
6.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,18.0,12.666666666666666,13.0,0.0,1.0,1.0,0.0,2.4,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,3.6,1.8,13.2
9.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,20.0,12.0,12.333333333333334,0.0,1.0,1.0,0.0,2.8,0.2,1.0,0.0,1.0,1.0,0.0,0.0,4.2,2.6,5.6,12.4
12.0,1.0,1.0,2.0,11.0,0.0,0.0,1.0,1.0,0.0,19.0,12.933333333333332,13.716666666666669,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.6,4.6,14.0
4.0,1.0,14.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,21.0,11.857142857142858,10.571428571428571,0.0,1.0,1.0,0.0,1.8,0.4,1.0,0.0,1.0,1.0,0.0,0.0,4.2,2.6,9.4,10.2
5.0,1.0,1.0,16.0,22.0,0.0,0.0,1.0,1.0,0.0,20.0,12.833333333333334,13.4,0.0,1.0,1.0,0.0,2.6,0.6,1.0,0.0,1.0,1.0,0.0,0.0,4.2,3.2,3.6,13.2
9.0,1.0,1.0,5.0,7.0,0.0,0.0,0.0,1.0,0.0,18.0,11.333333333333334,13.5,0.0,1.0,1.0,0.0,1.6,0.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,3.4,13.6
3.0,0.0,1.0,10.0,6.0,0.0,0.0,1.0,0.0,0.0,19.0,12.666666666666666,14.375,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.6,4.6,14.0
17.0,0.0,1.0,4.0,10.0,0.0,0.0,1.0,1.0,0.0,34.0,12.4,13.428571428571429,0.0,1.0,1.0,0.0,2.0,1.8,1.0,0.0,1.0,1.0,0.0,0.0,4.2,3.6,8.2,11.4
1.0,1.0,1.0,10.0,7.0,0.0,1.0,0.0,1.0,0.0,37.0,0.0,10.0,1.0,1.0,1.0,0.0,1.6,2.2,1.0,0.0,1.0,1.0,0.0,0.0,4.4,3.2,9.8,7.0
7.0,1.0,8.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,43.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.2,1.0,0.0,1.0,1.0,0.0,0.0,4.6,2.6,5.6,2.6
9.0,1.0,1.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,55.0,10.0,12.0,1.0,1.0,1.0,0.0,1.6,2.6,1.0,0.0,1.0,1.0,0.0,0.0,4.6,2.8,10.4,8.4
17.0,0.0,1.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,39.0,11.0,11.6,0.0,1.0,1.0,0.0,1.6,2.6,1.0,0.0,1.0,1.0,0.0,0.0,4.6,2.8,10.4,8.4
8.0,1.0,14.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,20.0,11.666666666666666,12.0,1.0,1.0,1.0,0.0,2.8,0.2,1.0,0.0,1.0,1.0,0.0,0.0,4.2,2.6,5.6,12.4
15.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,18.0,12.75,0.0,1.0,1.0,1.0,0.0,2.4,0.6,1.0,0.0,1.0,1.0,0.0,0.0,4.4,4.8,0.0,0.0
9.0,1.0,1.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,22.0,14.8,15.8,0.0,1.0,1.0,0.0,1.8,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.6,3.4,6.0,15.4
12.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,22.0,13.928,14.342857142857142,0.0,1.0,1.0,0.0,2.2,1.2,1.0,0.0,1.0,1.0,0.0,0.0,4.2,3.6,7.6,13.8
15.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,13.0,13.8,1.0,1.0,1.0,0.0,2.2,0.6,1.0,0.0,1.0,1.0,0.0,0.0,4.2,3.0,4.6,13.8
17.0,0.0,1.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,1.0,1.0,1.0,0.0,1.2,1.6,1.0,0.0,1.0,1.0,0.0,0.0,4.2,3.4,3.2,1.6
17.0,0.0,1.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,24.0,11.5,14.333333333333334,0.0,1.0,1.0,0.0,2.4,0.8,1.0,0.0,1.0,1.0,0.0,0.0,3.4,3.2,3.2,13.4
10.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,18.0,11.666666666666666,13.2,0.0,1.0,1.0,0.0,1.8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.4,3.0,3.4,13.8
12.0,1.0,1.0,8.0,8.0,0.0,0.0,1.0,0.0,1.0,22.0,13.516666666666666,13.771428571428572,0.0,1.0,1.0,0.0,2.2,1.2,1.0,0.0,1.0,1.0,0.0,0.0,4.2,3.6,7.6,13.8
3.0,0.0,14.0,10.0,10.0,0.0,0.0,1.0,0.0,1.0,21.0,11.5,13.285714285714286,0.0,1.0,1.0,0.0,2.8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.4,2.0,4.8,13.2
10.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,0.0,1.0,19.0,12.333333333333334,12.833333333333334,0.0,1.0,1.0,0.0,2.6,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.2,2.8,3.2,13.4
11.0,1.0,1.0,10.0,8.0,0.0,0.0,1.0,0.0,1.0,24.0,13.666666666666666,14.166666666666666,0.0,1.0,1.0,0.0,2.4,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,3.6,5.2,14.2
12.0,1.0,1.0,7.0,7.0,0.0,0.0,1.0,0.0,1.0,19.0,11.833333333333334,11.833333333333334,0.0,1.0,1.0,0.0,3.0,0.4,1.0,0.0,1.0,1.0,0.0,0.0,4.4,3.8,7.4,12.0
15.0,1.0,1.0,8.0,8.0,0.0,0.0,1.0,0.0,1.0,20.0,14.0,11.0,0.0,1.0,1.0,0.0,2.2,0.8,1.0,0.0,1.0,1.0,0.0,0.0,3.8,3.0,17.0,11.6
8.0,1.0,1.0,12.0,12.0,0.0,0.0,1.0,0.0,0.0,19.0,14.714285714285714,15.8,0.0,1.0,1.0,0.0,2.4,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.2,2.6,3.2,16.2
17.0,0.0,1.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,27.0,10.6,11.0,1.0,1.0,1.0,0.0,1.8,2.0,1.0,0.0,1.0,1.0,0.0,0.0,3.8,3.0,8.8,9.2
12.0,1.0,1.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,18.0,13.044444444444444,13.595,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.6,4.6,14.0
11.0,1.0,3.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,39.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.2,1.0,0.0,1.0,1.0,0.0,0.0,4.2,2.6,5.6,2.6
8.0,1.0,15.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,27.0,13.0,12.9,1.0,1.0,1.0,0.0,2.4,1.2,1.0,0.0,1.0,1.0,0.0,0.0,3.4,3.6,4.0,13.8
12.0,1.0,1.0,8.0,11.0,0.0,0.0,1.0,0.0,0.0,18.0,14.935,14.935,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.2,2.6,2.4,15.2
2.0,1.0,1.0,5.0,10.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,1.0,0.0,1.2,1.4,1.0,0.0,1.0,1.0,0.0,0.0,4.2,4.4,0.0,0.0
12.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,18.0,13.133333333333333,12.221428571428572,0.0,1.0,1.0,0.0,2.4,0.2,1.0,0.0,1.0,1.0,0.0,0.0,4.4,3.0,3.6,12.8
10.0,1.0,14.0,10.0,10.0,0.0,0.0,1.0,0.0,1.0,21.0,12.0,12.0,0.0,1.0,1.0,0.0,2.8,0.2,1.0,0.0,1.0,1.0,0.0,0.0,3.6,2.8,6.4,12.0
2.0,1.0,1.0,5.0,8.0,0.0,0.0,1.0,1.0,1.0,19.0,0.0,0.0,0.0,1.0,1.0,0.0,1.2,1.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.2,0.0,0.0
5.0,1.0,1.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,19.0,11.4,10.0,0.0,1.0,1.0,0.0,1.6,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.6,3.6,7.4,10.4
5.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,24.0,0.0,0.0,0.0,1.0,1.0,0.0,1.4,1.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.2,1.6,1.0
12.0,1.0,12.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,29.0,11.9,11.0,1.0,1.0,1.0,0.0,1.8,2.0,1.0,0.0,1.0,1.0,0.0,0.0,3.8,3.0,8.8,9.2
2.0,1.0,1.0,6.0,4.0,0.0,0.0,1.0,1.0,1.0,19.0,0.0,0.0,0.0,1.0,1.0,0.0,1.2,1.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.2,0.0,0.0
4.0,1.0,14.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,23.0,12.571428571428571,12.428571428571429,0.0,1.0,1.0,0.0,3.0,0.8,1.0,0.0,1.0,1.0,0.0,0.0,3.6,2.8,3.2,12.8
9.0,1.0,1.0,8.0,8.0,0.0,1.0,1.0,1.0,0.0,19.0,11.2,10.75,1.0,1.0,1.0,0.0,2.2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.4,3.4,4.6,10.8
11.0,1.0,1.0,8.0,11.0,0.0,0.0,1.0,1.0,0.0,26.0,12.0,10.8,0.0,1.0,1.0,0.0,2.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,3.4,3.4,8.0,10.2
9.0,1.0,1.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,0.0,1.0,1.0,0.0,1.2,1.4,1.0,0.0,1.0,1.0,0.0,0.0,4.2,4.4,0.0,0.0
12.0,1.0,1.0,9.0,5.0,0.0,0.0,1.0,1.0,0.0,24.0,11.975,13.75,0.0,1.0,1.0,0.0,2.4,1.2,1.0,0.0,1.0,1.0,0.0,0.0,3.4,3.6,4.0,13.8
2.0,1.0,1.0,6.0,11.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,1.0,1.0,1.0,0.0,1.2,1.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.2,0.0,0.0
11.0,1.0,1.0,6.0,8.0,0.0,0.0,1.0,1.0,0.0,18.0,11.666666666666666,12.0,1.0,1.0,1.0,0.0,2.2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.2,2.4,2.6,13.6
15.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,18.0,12.333333333333334,12.333333333333334,0.0,1.0,1.0,0.0,1.6,0.4,1.0,0.0,1.0,1.0,0.0,0.0,4.2,2.6,4.4,13.8
9.0,1.0,1.0,5.0,8.0,0.0,1.0,1.0,1.0,0.0,18.0,10.333333333333334,10.857142857142858,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.2,3.4,5.2,11.4
11.0,1.0,1.0,8.0,8.0,0.0,0.0,1.0,1.0,1.0,21.0,10.5,11.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.4,11.4,11.2
15.0,1.0,1.0,10.0,9.0,0.0,1.0,1.0,1.0,1.0,19.0,13.666666666666666,13.333333333333334,0.0,1.0,1.0,0.0,3.0,0.2,1.0,0.0,1.0,1.0,0.0,0.0,4.2,4.0,5.6,13.6
12.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,22.0,14.842857142857142,15.055555555555555,0.0,1.0,1.0,0.0,2.4,1.6,1.0,0.0,1.0,1.0,0.0,0.0,4.6,3.8,10.0,13.8
3.0,0.0,1.0,10.0,7.0,0.0,0.0,1.0,1.0,0.0,33.0,12.0,11.666666666666666,0.0,1.0,1.0,0.0,1.6,2.6,1.0,0.0,1.0,1.0,0.0,0.0,4.6,2.8,10.4,8.4
16.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,20.0,12.2,12.2,1.0,1.0,1.0,0.0,2.8,0.4,1.0,0.0,1.0,1.0,0.0,0.0,4.2,3.2,5.4,11.8
17.0,0.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,35.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.2,1.0,0.0,1.0,1.0,0.0,0.0,4.2,2.6,5.6,2.6
4.0,1.0,4.0,5.0,3.0,0.0,1.0,1.0,1.0,0.0,24.0,12.166666666666666,13.3,1.0,1.0,1.0,0.0,2.4,1.2,1.0,0.0,1.0,1.0,0.0,0.0,3.4,3.6,4.0,13.8
11.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,18.0,12.0,11.333333333333334,0.0,1.0,1.0,0.0,2.2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.2,4.2,6.6,12.2
3.0,0.0,1.0,10.0,7.0,0.0,0.0,1.0,0.0,0.0,33.0,11.0,11.0,0.0,1.0,1.0,0.0,1.6,2.6,1.0,0.0,1.0,1.0,0.0,0.0,4.6,2.8,10.4,8.4
12.0,1.0,1.0,10.0,8.0,0.0,0.0,1.0,0.0,1.0,22.0,13.08,13.08,0.0,1.0,1.0,0.0,2.4,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.4,3.2,3.6,13.8
14.0,1.0,1.0,5.0,6.0,0.0,0.0,1.0,0.0,1.0,25.0,10.5,11.6,0.0,1.0,1.0,0.0,1.8,1.6,1.0,0.0,1.0,1.0,0.0,0.0,3.6,3.6,8.8,10.2
5.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,20.0,10.666666666666666,11.2,0.0,1.0,1.0,0.0,2.2,0.6,1.0,0.0,1.0,1.0,0.0,0.0,3.2,3.2,8.8,11.0
9.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,23.0,14.0,13.8,0.0,1.0,1.0,0.0,2.2,1.2,1.0,0.0,1.0,1.0,0.0,0.0,4.2,3.6,7.6,13.8
7.0,1.0,1.0,10.0,7.0,0.0,1.0,1.0,1.0,0.0,18.0,10.0,0.0,0.0,1.0,1.0,0.0,2.2,0.8,1.0,0.0,1.0,1.0,0.0,0.0,4.2,3.4,0.0,0.0
12.0,1.0,1.0,5.0,11.0,0.0,0.0,1.0,1.0,0.0,24.0,0.0,0.0,1.0,1.0,1.0,0.0,1.4,1.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.2,1.6,1.0
15.0,1.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,21.0,14.0,13.5,0.0,1.0,1.0,0.0,2.4,1.4,1.0,0.0,1.0,1.0,0.0,0.0,4.2,3.6,6.4,13.8
8.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,26.0,12.0,0.0,1.0,1.0,1.0,0.0,2.2,0.8,1.0,0.0,1.0,1.0,0.0,0.0,4.2,3.4,0.0,0.0
16.0,1.0,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,39.0,12.666666666666666,0.0,1.0,1.0,1.0,0.0,1.4,2.8,1.0,0.0,1.0,1.0,0.0,0.0,4.6,2.0,10.4,6.0
3.0,0.0,1.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,44.0,11.875,12.333333333333334,0.0,1.0,1.0,0.0,1.6,2.6,1.0,0.0,1.0,1.0,0.0,0.0,4.6,2.8,10.4,8.4
7.0,1.0,1.0,10.0,3.0,0.0,0.0,1.0,1.0,0.0,19.0,14.0,13.25,0.0,1.0,1.0,0.0,2.6,0.2,1.0,0.0,1.0,1.0,0.0,0.0,3.8,3.6,6.0,13.6
15.0,1.0,1.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,18.0,13.666666666666666,13.333333333333334,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.2,3.8,3.2,14.0
12.0,1.0,1.0,8.0,8.0,0.0,0.0,1.0,0.0,1.0,18.0,13.75,14.47777777777778,0.0,1.0,1.0,0.0,2.8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.2,2.4,3.4,14.8
6.0,1.0,1.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,19.0,14.2,13.8,0.0,1.0,1.0,0.0,2.4,0.4,1.0,0.0,1.0,1.0,0.0,0.0,3.8,3.0,9.4,13.8
12.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,19.0,11.96,0.0,1.0,1.0,1.0,0.0,2.4,1.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0
6.0,1.0,16.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,21.0,12.875,13.4,1.0,1.0,1.0,0.0,2.4,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.4,3.2,3.6,13.8
2.0,1.0,1.0,10.0,11.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,1.2,1.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.2,0.0,0.0
3.0,0.0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,36.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.2,1.0,0.0,1.0,1.0,0.0,0.0,4.2,2.6,5.6,2.6
4.0,1.0,9.0,10.0,7.0,0.0,0.0,1.0,0.0,0.0,43.0,14.63157894736842,14.23076923076923,0.0,1.0,1.0,0.0,2.0,2.2,1.0,0.0,1.0,1.0,0.0,0.0,4.6,3.6,7.4,11.4
16.0,1.0,1.0,10.0,8.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,1.0,1.0,1.0,0.0,1.2,1.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.2,0.0,0.0
5.0,1.0,1.0,3.0,9.0,0.0,1.0,1.0,0.0,0.0,20.0,13.0,12.272727272727272,0.0,1.0,1.0,0.0,2.8,0.2,1.0,0.0,1.0,1.0,0.0,0.0,3.8,2.6,7.6,12.8
10.0,1.0,1.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,1.0,1.0,1.0,0.0,1.2,1.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.2,0.0,0.0
6.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,20.0,14.2,13.25,1.0,1.0,1.0,0.0,2.6,1.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,3.2,10.4,13.4
12.0,1.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,20.0,13.266666666666666,12.3,1.0,1.0,1.0,0.0,2.8,0.4,1.0,0.0,1.0,1.0,0.0,0.0,3.6,3.0,15.6,12.4
16.0,1.0,1.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,20.0,11.666666666666666,13.0,0.0,1.0,1.0,0.0,2.8,0.2,1.0,0.0,1.0,1.0,0.0,0.0,4.2,2.6,5.6,12.4
10.0,1.0,1.0,7.0,8.0,0.0,0.0,1.0,0.0,0.0,18.0,13.857142857142858,15.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.4,3.2,1.2,15.4
9.0,1.0,1.0,5.0,8.0,0.0,0.0,1.0,0.0,1.0,18.0,13.0,11.0,0.0,1.0,1.0,0.0,2.2,0.2,1.0,0.0,1.0,1.0,0.0,0.0,3.8,3.6,2.4,11.4
6.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,19.0,13.4,12.8,0.0,1.0,1.0,0.0,2.4,0.2,1.0,0.0,1.0,1.0,0.0,0.0,3.6,3.4,7.2,13.0
15.0,1.0,1.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,18.0,12.666666666666666,12.571428571428571,0.0,1.0,1.0,0.0,2.6,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.4,3.4,2.0,13.0
12.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,18.0,12.516666666666666,12.516666666666666,1.0,1.0,1.0,0.0,2.4,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,3.6,1.8,13.2
